"timestamp","snapshotDate","pkg","bytes"
2021-08-14 21:12:15,"2021-06-01","digest","268621"
2021-08-14 21:12:15,"2021-06-01","base64enc","43016"
2021-08-14 21:12:15,"2021-06-01","rlang","1189352"
2021-08-14 21:12:15,"2021-06-01","yaml","207829"
2021-08-14 21:12:15,"2021-06-01","lazyeval","172305"
2021-08-14 21:12:15,"2021-06-01","R6","84117"
2021-08-14 21:12:15,"2021-06-01","Rcpp","3253413"
2021-08-14 21:12:15,"2021-06-01","later","853628"
2021-08-14 21:12:15,"2021-06-01","htmltools","243505"
2021-08-14 21:12:15,"2021-06-01","htmlwidgets","278298"
2021-08-14 21:12:15,"2021-06-01","jsonlite","543842"
2021-08-14 21:12:15,"2021-06-01","magrittr","235588"
2021-08-14 21:12:15,"2021-06-01","crosstalk","785666"
2021-08-14 21:12:15,"2021-06-01","promises","2313952"
2021-08-14 21:12:15,"2021-06-01","DT","1826015"
2021-08-14 21:12:18,"2021-06-01","purrr","429534"
2021-08-14 21:12:32,"2021-06-01","mime","48442"
2021-08-14 21:12:32,"2021-06-01","glue","155509"
2021-08-14 21:12:32,"2021-06-01","stringi","15243599"
2021-08-14 21:12:32,"2021-06-01","evaluate","76486"
2021-08-14 21:12:32,"2021-06-01","highr","46575"
2021-08-14 21:12:32,"2021-06-01","markdown","188621"
2021-08-14 21:12:32,"2021-06-01","stringr","216301"
2021-08-14 21:12:32,"2021-06-01","xfun","345490"
2021-08-14 21:12:32,"2021-06-01","knitr","1460880"
2021-08-14 21:31:37,"2021-06-01","rmarkdown","3692413"
2021-08-14 21:31:37,"2021-06-01","rmarkdown","30014"
2021-08-14 21:38:13,"2021-06-01","fansi","248461"
2021-08-14 21:38:13,"2021-06-01","pkgconfig","22350"
2021-08-14 21:38:13,"2021-06-01","cli","533173"
2021-08-14 21:38:13,"2021-06-01","crayon","142147"
2021-08-14 21:38:13,"2021-06-01","utf8","209835"
2021-08-14 21:38:13,"2021-06-01","ellipsis","49185"
2021-08-14 21:38:13,"2021-06-01","generics","71355"
2021-08-14 21:38:13,"2021-06-01","lifecycle","111221"
2021-08-14 21:38:13,"2021-06-01","tibble","825914"
2021-08-14 21:38:13,"2021-06-01","tidyselect","204019"
2021-08-14 21:38:13,"2021-06-01","vctrs","1250612"
2021-08-14 21:38:13,"2021-06-01","pillar","1025368"
2021-08-14 21:38:13,"2021-06-01","dplyr","1339339"
