Type,Bottle,Proof,Low,Opened,Unopened
Bourbon,Elijah Craig (Barrel Proof),135.2 Proof,,,3
Bourbon,Elijah Craig (Toasted Barrel),94 Proof,,1,
Bourbon,I.W. Harper (Cabernet Cask),90 Proof,,1,1
Bourbon,Sazerac Rye,90 Proof,1,,
Tequila,Teremana Blanco,80 Proof,1,,
Scotch,Lagavulin (8 year),96 Proof,,1,
Bourbon,Noah's Mill,114.3 Proof,,1,1
Bourbon, Rowan's Creek,100.1 Proof,,1,
Bourbon, Evan Williams Bonded,100 Proof,,1,
Gin, Bombay Sapphire,94 Proof,1,,
Rum, Smith & Cross (Navy Strength),114 Proof,,1,
Scotch,Balvenie DoubleWood 17 Year,86 Proof,,1,
Scotch,Highland Park 12 Year,86 Proof, ,1,
Bourbon, Thomas S. Moore Cognac Cast,93.4 Proof,,1,
Mezcal, Del Maguey Vida,84 Proof,,1,
Bourbon, Fillibuster Boondoggler,90 Proof,,1,
Bourbon, George T. Stagg,124.9 Proof,,1,
Bourbon,Abraham Bowman (Release 18),146.1 Proof,,1,
Rum, George Bowman,80 Proof,1,,
Gin, Bloom,80 Proof,,1,
Cognac, Courvoisier,80 Proof,1,,
Rum, Bacardi Gold,80 Proof,1,,
Tequila, 1800 Blanco, 80 Proof,,1,
